Time,Host,File Size,Protocol,Speed (MB/s)
2025-08-21 01:13:38,Asia,10MB_file,rsync_hop,5.17
2025-08-21 01:13:48,Asia,10MB_file,rsync_ssh_reno,2.81
2025-08-21 01:18:39,Asia,1GB_file,rsync_hop,3.84
2025-08-21 01:21:10,Asia,1GB_file,rsync_ssh_reno,7.13
2025-08-21 01:26:56,Asia,100MB_file,rsync_hop,3.98
2025-08-21 01:27:18,Asia,100MB_file,rsync_ssh_reno,6.44
2025-08-21 01:27:44,Asia,10MB_file,rsync_hop,4.39
2025-08-21 01:27:55,Asia,10MB_file,rsync_ssh_reno,2.78
2025-08-21 01:31:55,Asia,1GB_file,rsync_hop,4.72
2025-08-21 01:35:08,Asia,1GB_file,rsync_ssh_reno,5.52
2025-08-21 01:35:52,USA,100MB_file,rsync_hop,4.76
2025-08-21 01:36:22,USA,100MB_file,rsync_ssh_reno,3.75
2025-08-21 01:36:45,USA,10MB_file,rsync_hop,5.17
2025-08-21 01:36:58,USA,10MB_file,rsync_ssh_reno,1.07
2025-08-21 01:40:45,USA,1GB_file,rsync_hop,4.93
2025-08-21 01:42:19,USA,1GB_file,rsync_ssh_reno,11.46
2025-08-21 01:43:10,Europe,100MB_file,rsync_hop,3.71
2025-08-21 01:43:26,Europe,100MB_file,rsync_ssh_reno,9.06
2025-08-21 01:43:54,Europe,10MB_file,rsync_hop,2.04
2025-08-21 01:44:03,Europe,10MB_file,rsync_ssh_reno,3.18
2025-08-21 01:48:49,Europe,1GB_file,rsync_hop,3.88
2025-08-21 01:51:52,Europe,1GB_file,rsync_ssh_reno,5.79
2025-08-21 01:53:05,Asia,100MB_file,rsync_hop,2.1
2025-08-21 01:53:30,Asia,100MB_file,rsync_ssh_reno,5.34
2025-08-21 01:53:58,Asia,10MB_file,rsync_hop,2.42
2025-08-21 01:54:10,Asia,10MB_file,rsync_ssh_reno,2.06
2025-08-21 01:59:42,Asia,1GB_file,rsync_hop,3.32
2025-08-21 02:03:30,Asia,1GB_file,rsync_ssh_reno,4.66
2025-08-21 02:04:17,USA,100MB_file,rsync_hop,4.28
2025-08-21 02:04:49,USA,100MB_file,rsync_ssh_reno,3.52
2025-08-21 02:05:13,USA,10MB_file,rsync_hop,2.39
2025-08-21 02:05:25,USA,10MB_file,rsync_ssh_reno,1.24
2025-08-21 02:10:34,USA,1GB_file,rsync_hop,3.54
2025-08-21 02:12:28,USA,1GB_file,rsync_ssh_reno,9.43
2025-08-21 02:13:15,Europe,100MB_file,rsync_hop,4.1
2025-08-21 02:14:19,Europe,100MB_file,rsync_ssh_reno,1.75
2025-08-21 02:14:47,Europe,10MB_file,rsync_hop,2.01
2025-08-21 02:15:09,Europe,10MB_file,rsync_ssh_reno,1.06
2025-08-21 02:20:55,Europe,1GB_file,rsync_hop,3.16
2025-08-21 02:24:09,Europe,1GB_file,rsync_ssh_reno,5.46
2025-08-21 02:25:01,Asia,100MB_file,rsync_hop,3.58
2025-08-21 02:25:23,Asia,100MB_file,rsync_ssh_reno,6.94
2025-08-21 02:25:52,Asia,10MB_file,rsync_hop,2.4
2025-08-21 02:26:02,Asia,10MB_file,rsync_ssh_reno,2.44
2025-08-21 02:30:09,Asia,1GB_file,rsync_hop,4.59
2025-08-21 02:33:02,Asia,1GB_file,rsync_ssh_reno,6.19
2025-08-21 02:33:57,USA,100MB_file,rsync_hop,3.07
2025-08-21 02:34:27,USA,100MB_file,rsync_ssh_reno,3.74
2025-08-21 02:34:52,USA,10MB_file,rsync_hop,2.57
2025-08-21 02:35:03,USA,10MB_file,rsync_ssh_reno,1.24
2025-08-21 02:39:11,USA,1GB_file,rsync_hop,4.5
2025-08-21 02:40:45,USA,1GB_file,rsync_ssh_reno,11.42
2025-08-21 02:41:52,Europe,100MB_file,rsync_hop,2.3
2025-08-21 02:42:54,Europe,100MB_file,rsync_ssh_reno,1.81
2025-08-21 02:43:20,Europe,10MB_file,rsync_hop,2.82
2025-08-21 02:43:42,Europe,10MB_file,rsync_ssh_reno,1.37
2025-08-21 02:49:51,Europe,1GB_file,rsync_hop,2.96
2025-08-21 02:53:15,Europe,1GB_file,rsync_ssh_reno,5.17
2025-08-21 02:54:05,Asia,100MB_file,rsync_hop,4.07
2025-08-21 02:54:25,Asia,100MB_file,rsync_ssh_reno,7.18
2025-08-21 02:54:52,Asia,10MB_file,rsync_hop,4.06
2025-08-21 02:55:03,Asia,10MB_file,rsync_ssh_reno,2.35
2025-08-21 02:59:36,Asia,1GB_file,rsync_hop,4.1
2025-08-21 03:01:50,Asia,1GB_file,rsync_ssh_reno,8.09
2025-08-21 03:02:41,USA,100MB_file,rsync_hop,3.56
2025-08-21 03:03:13,USA,100MB_file,rsync_ssh_reno,3.52
2025-08-21 03:03:42,USA,10MB_file,rsync_hop,1.29
2025-08-21 03:03:55,USA,10MB_file,rsync_ssh_reno,1.08
2025-08-21 03:08:24,USA,1GB_file,rsync_hop,4.12
2025-08-21 03:09:59,USA,1GB_file,rsync_ssh_reno,11.31
